"","X","datesnames","response","cum.response","point.pred","point.pred.lower","point.pred.upper","cum.pred","cum.pred.lower","cum.pred.upper","point.effect","point.effect.lower","point.effect.upper","cum.effect","cum.effect.lower","cum.effect.upper","proj.response","proj.conterfactual","proj.conterfactual.lower","proj.conterfactual.upper"
"1",1,"2020-02-25",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"2020-02-27",4.60517018598809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"2020-02-29",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"2020-03-02",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"2020-03-04",0.693147180559945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"2020-03-06",1.6094379124341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"2020-03-08",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"2020-03-10",0.182321556793954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"2020-03-12",0.287682072451781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"2020-03-14",1.97234340612347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"2020-03-16",0.578077850775158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"2020-03-18",0.229949605783209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"2020-03-20",0.0924873127216204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"2020-03-22",0.14145048372347,0.14145048372347,0.174048126030973,-0.0527780805550697,0.412633714546608,0.14145048372347,0.14145048372347,0.14145048372347,-0.0325976423075029,-0.271183230823138,0.19422856427854,0,0,0,0.100524205982115,0.100524205982115,0.100524205982115,0.100524205982115
"15",15,"2020-03-24",0.123899262673819,0.265349746397289,0.187247891265404,-0.0258876608834749,0.41946206091967,0.265349746397289,0.265349746397289,0.265349746397289,-0.0633486285915844,-0.295562798245851,0.149786923557294,0,0,0,0.113783533765032,0.113783533765032,0.113783533765032,0.113783533765032
"16",16,"2020-03-26",0.377061916121257,0.642411662518547,0.223345707965177,-0.0104727365872132,0.447747379599346,0.642411662518547,0.642411662518547,0.642411662518547,0.153716208156081,-0.0706854634780888,0.387534652708471,0,0,0,0.165895775516497,0.165895775516497,0.165895775516497,0.165895775516497
"17",17,"2020-03-28",0.181391756633988,0.823803419152535,0.211709920318551,-0.0298126990900353,0.43693321764634,0.823803419152535,0.823803419152535,0.823803419152535,-0.0303181636845632,-0.255541461012352,0.211204455724023,0,0,0,0.198889916743756,0.198889916743756,0.198889916743756,0.198889916743756
"18",18,"2020-03-30",0.103032225898235,0.92683564505077,0.211254661011129,-0.0448450736415966,0.454063935968788,1.03505808016366,0.778958345510938,1.27786735512132,-0.108222435112894,-0.351031710070553,0.147877299539832,-0.108222435112894,-0.351031710070553,0.147877299539832,0.220474868948505,0.245674171151246,0.190167719279157,0.313191688196571
"19",19,"2020-04-01",0.0857285031767407,1.01256414822751,0.210698628982229,-0.0606202519501207,0.475784272073506,1.24575670914589,0.808674063797746,1.66619623322149,-0.124970125805488,-0.390055768896766,0.146348755126861,-0.233192560918381,-0.653632084993977,0.203890084429765,0.240209682392846,0.303294651281726,0.19590348884655,0.461805729412266
"20",20,"2020-04-03",0.209963363099544,1.22252751132705,0.210068452980256,-0.0717779823866778,0.506604983860415,1.45582516212615,0.841564901365481,2.06574334284301,-0.000105089880711756,-0.29664162076087,0.281741345486222,-0.233297650799093,-0.843215831515959,0.380962609961574,0.296330558125191,0.37419357077693,0.202454054953235,0.688621252077867
"21",21,"2020-04-05",0.132360051304937,1.35488756263199,0.209203583888809,-0.0916629391728139,0.506065769585875,1.66502874601496,0.836369885148438,2.49809867755508,-0.0768435325838714,-0.373705718280937,0.224022990477751,-0.310141183382965,-1.14321111492308,0.518517677483554,0.338267036694418,0.461266891735526,0.201405030064475,1.06108446878617
"22",22,"2020-04-07",0.0463128175735257,1.40120038020552,0.20989755932388,-0.104896468783846,0.525334324095689,1.87492630533884,0.872257812461848,2.9076158369654,NA,NA,NA,NA,NA,NA,0.354301572617947,0.568996552741335,0.208764303841503,1.59808914045581
